id,name,role
1000001,Margot Robbie,Barbie
1000001,Ryan Gosling,Ken
1000001,America Ferrera,Gloria
1000002,Song Kang-ho,Kim Ki-taek
1000002,Lee Sun-kyun,Park Dong-ik
1000002,Cho Yeo-jeong,Yeon-kyo
1000003,Michelle Yeoh,Evelyn Wang
1000003,Ke Huy Quan,Waymond Wang
1000003,Stephanie Hsu,Joy Wang / Jobu Tupaki
1000004,Edward Norton,Narrator
1000004,Brad Pitt,Tyler Durden
1000004,Helena Bonham Carter,Marla Singer
1000005,Ryan Gosling,Sebastian
1000005,Emma Stone,Mia
1000005,John Legend,Keith
1000006,Cillian Murphy,J. Robert Oppenheimer
1000006,Emily Blunt,Kitty Oppenheimer
1000006,Matt Damon,Leslie Groves
1000007,Matthew McConaughey,Joseph 'Coop' Cooper
1000007,Anne Hathaway,Dr. Amelia Brand
1000007,Michael Caine,Professor John Brand
1000008,Joaquin Phoenix,Arthur Fleck / Joker
1000008,Robert De Niro,Murray Franklin
1000008,Zazie Beetz,Sophie Dumond
1000009,Timothée Chalamet,Paul Atreides
1000009,Rebecca Ferguson,Lady Jessica Atreides
1000009,Oscar Isaac,Duke Leto Atreides
1000011,Shameik Moore,Miles Morales (voice)
1000011,Jake Johnson,Peter B. Parker (voice)
1000011,Hailee Steinfeld,Gwen Stacy (voice)
1000012,Miles Teller,Andrew
1000012,J.K. Simmons,Fletcher
1000012,Paul Reiser,Jim
1000013,Robert Pattinson,Bruce Wayne / The Batman
1000013,Zoë Kravitz,Selina Kyle
1000013,Jeffrey Wright,Lt. James Gordon
1000014,Daniel Kaluuya,Chris Washington
1000014,Allison Williams,Rose Armitage
1000014,Bradley Whitford,Dean Armitage
1000015,Daniel Craig,Benoit Blanc
1000015,Chris Evans,Ransom Drysdale
1000015,Ana de Armas,Marta Cabrera
1000016,Florence Pugh,Dani
1000016,Jack Reynor,Christian
1000016,William Jackson Harper,Josh
1000017,Christian Bale,Bruce Wayne / Batman
1000017,Heath Ledger,Joker
