id,country
1000001,UK
1000001,USA
1000002,South Korea
1000003,USA
1000004,Germany
1000004,USA
1000005,Hong Kong
1000005,USA
1000006,UK
1000006,USA
1000007,UK
1000007,USA
1000008,Canada
1000008,USA
1000009,USA
1000011,USA
1000012,USA
1000013,USA
1000014,USA
1000015,USA
1000016,Sweden
1000016,USA
1000017,UK
1000017,USA
1000018,UK
1000018,USA
1000019,UK
1000019,USA
1000020,Ireland
1000020,UK
1000020,USA
1000021,USA
1000022,USA
1000023,USA
1000024,Germany
1000024,USA
1000025,USA
1000026,Canada
1000026,USA
1000027,USA
1000028,USA
1000029,USA
1000030,Japan
1000031,USA
1000032,USA
1000033,China
1000033,UK
1000033,USA
1000036,France
1000036,Germany
1000036,USA
1000037,USA
1000039,USA
1000040,USA
1000041,USA
1000043,USA
1000044,UK
1000044,USA
1000045,USA
1000047,USA
1000048,USA
1000049,Brazil
1000049,France
1000049,Italy
1000049,USA
1000050,USA
1000051,USA
1000052,USA
1000053,USA
1000054,USA
1000055,USA
1000056,Japan
1000056,UK
1000056,USA
1000057,USA
1000058,USA
1000061,Czechia
1000061,New Zealand
1000061,USA
1000062,USA
1000063,USA
1000064,USA
1000065,Canada
1000065,UK
1000065,USA
1000066,USA
1000067,New Zealand
1000067,USA
1000070,USA
1000071,USA
1000072,Australia
1000072,USA
1000073,USA
1000074,USA
1000075,Italy
1000075,USA
1000076,USA
1000077,USA
1000078,USA
1000079,USA
1000080,France
1000081,USA
1000083,USA
1000084,USA
1000085,USA
1000086,USA
1000087,USA
1000088,USA
1000089,USA
1000092,Brazil
1000092,UK
1000092,USA
1000093,USA
1000094,Japan
1000095,USA
1000096,USA
1000097,UK
1000097,USA
1000098,USA
1000099,UK
1000099,USA
1000100,USA
1000101,USA
1000102,India
1000102,Spain
1000102,UK
1000102,USA
1000103,UK
1000103,USA
1000104,USA
1000104,UK
1000105,USA
1000106,USA
1000107,USA
1000108,USA
1000110,USA
1000111,USA
1000112,USA
1000113,USA
1000114,USA
1000115,USA
1000116,UK
1000116,USA
1000117,USA
1000118,USA
1000120,USA
1000121,USA
1000123,USA
1000124,UK
1000124,USA
1000125,USA
1000126,USA
1000127,USA
1000128,USA
1000129,USA
1000130,USA
1000131,USA
1000132,UK
1000132,USA
1000136,USA
1000137,New Zealand
1000137,USA
1000138,USA
1000139,USA
1000140,USA
1000141,USA
1000142,UK
1000142,USA
1000143,Japan
1000143,UK
1000143,USA
1000145,USA
1000146,USA
1000148,Japan
1000148,USA
1000149,UK
1000151,France
1000152,USA
1000153,USA
1000154,USA
1000156,New Zealand
1000156,USA
1000159,USA
1000160,USA
1000160,UK
1000161,USA
1000162,Austria
1000162,USA
1000164,USA
1000165,France
1000165,UK
1000165,USA
1000166,South Korea
1000167,USA
1000168,USA
1000169,UK
1000169,USA
1000170,UK
1000170,USA
1000171,USA
1000172,UK
1000172,USA
1000173,UK
1000173,USA
1000175,Brazil
1000175,Canada
1000175,UK
1000175,USA
1000176,USA
1000177,UK
1000177,USA
1000180,France
1000180,Germany
1000182,USA
1000183,USA
1000184,France
1000184,Greece
1000184,Ireland
1000184,Netherlands
1000184,UK
1000185,Italy
1000185,USA
1000187,UK
1000187,USA
1000188,USA
1000189,Japan
1000190,UK
1000190,USA
1000192,Japan
1000193,Australia
1000193,UK
1000194,USA
1000195,USA
1000196,USA
1000197,USA
1000199,Hong Kong
1000199,USA
1000200,USA
1000203,USA
1000204,UK
1000204,USA
1000205,UK
1000205,USA
1000206,UK
1000206,USA
1000207,USA
1000208,Germany
1000208,UK
1000208,USA
1000209,Japan
1000210,USA
1000211,USA
1000212,Canada
1000212,USA
1000213,USA
1000214,USA
1000216,USA
1000217,USA
1000218,USA
1000219,Spain
1000219,USA
1000220,UK
1000220,USA
1000221,USA
1000222,USA
1000223,USA
1000224,France
1000224,USA
1000225,UK
1000225,USA
1000228,USA
1000230,UK
1000230,USA
1000231,USA
1000232,USA
1000233,UK
1000233,USA
1000234,USA
1000235,UK
1000235,USA
1000236,USA
1000238,USA
1000240,USA
1000241,USA
1000243,USA
1000245,USA
1000246,UK
1000247,USA
1000248,USA
1000249,USA
1000250,Australia
1000250,USA
1000251,Canada
1000251,Hong Kong
1000251,Taiwan
1000251,USA
1000253,USA
1000254,USA
1000255,USA
1000256,USA
1000258,USA
1000259,USA
1000259,Australia
1000261,UK
1000261,USA
1000263,UK
1000263,USA
1000264,USA
1000265,USA
1000266,USA
1000267,USA
1000269,USA
1000270,USA
1000271,USA
1000272,USA
1000273,USA
1000274,USA
1000275,France
1000275,Hong Kong
1000275,Netherlands
1000276,USA
1000277,USA
1000279,USA
1000280,Germany
1000280,USA
1000282,USA
1000284,France
1000284,Germany
1000284,Poland
1000284,UK
1000284,USA
1000285,South Korea
1000286,USA
1000287,Canada
1000287,USA
1000288,USA
1000289,USA
1000290,USA
